,inventory,inventory size,count
139,"s, sʲ, ɕː, ʂ",4,1
140,"s, z̥, ʃ, ʒ̊",4,1
141,"s, sʲ, ʂ",3,3
142,"s, s̺, ɕ",3,1
143,"s, sˤ, ʃ",3,2
144,s̺,1,9
145,s̠,1,2
146,"s̺̠, ʃ",2,1
147,"s, sʲ, ɕ, ʃ",4,3
148,"s, sʲ, ɕ",3,1
149,"s̪, s̪ː, ʃ, ʃʷ, ʃʷː, ʃː",6,1
150,"s̺, s̻, ʃ",3,3
151,"s, sʰ, ɕ, ɕʰ, ʃ, ʃʰ",6,2
152,s̻̠,1,1
153,"s̺, ɕ",2,1
154,"s, ɕː, ʃ",3,2
155,"s, sʼː, sː, ʃ, ʃʼː, ʃː",6,1
156,"sʲ, s̪",2,2
157,"s, ʃ̺",2,1
158,"s, s̩",2,1
159,"sʲ, s̪, ɕ",3,1
160,"s, ʂ, ʃ, ʃʷ",4,2
161,"s̺, s̺ː",2,1
162,"s, sʰ, ɕ, ɕʰ, ʂ, ʂʰ",6,2
163,"s, ɕ, ʂ, ʃ",4,1
164,"s, ʃ, ʼs, ʼʃ",4,1
165,"s, sʰ, ɕ",3,1
166,"s̪̻, ʃ̺",2,1
167,"s, ɕː, ʂ",3,1
168,"s, sʰ, ɕ, ɕʰ, ʂ",5,2
169,"sʲ, s̪, ʃ, ʃʲː",4,1
170,"s, sʼ, ɕ, ɕʼ",4,1
171,"s, sʰ, ɕ, ɕʰ, ʂ, ʂʰ, ʷʰs, ʷʰsʰ, ʷʰɕʰ, ʷʰʂʰ",10,1
172,"sˠ, ʃ",2,1
173,"z̥, ɕ, ʂ, ʰsʰ",4,1
174,"s̪, s̪ʲ, s̪ʷ, s̪ʷʲ, ʃ",5,1
175,"sʲ, s̻, ʂ",3,1
176,"sː, z̥, ʃː, ʒ̊",4,1
177,"s̪, ɕ, ʂ̻",3,1
178,"s, sʰ, sʲ, sʲʰ",4,1
179,"s̪, ɕ, ɕː, ʃ",4,1
180,"s, ʃ, ʃʼ",3,1
181,"s, sʰ, ɕ, ʂʰ",4,1
182,"sʲ, s̪, ʂ",3,1
183,"s, sʼ, ʃ, ʃ̞, ʃ̞ʼ",5,1
